Vid_id,adview
VID_1054,51.102207
VID_18629,9.10941
VID_13967,-0.28559488
VID_19442,35.635624
VID_770,36.298603
VID_10315,3.6609166
VID_7417,5.4353595
VID_17788,41.09439
VID_14591,20.3698
VID_1228,39.02737
VID_10153,8.83988
VID_5667,0.69080305
VID_22775,17.104927
VID_8353,-1.2100508
VID_486,35.100388
VID_17460,-3.9146056
VID_5867,2.0038066
VID_15951,6.0622525
VID_14890,88.06831
VID_7219,3.8556328
VID_20045,1.0968046
VID_11874,-4.928637
VID_1208,25.16606
VID_4529,-0.8625611
VID_6793,42.49437
VID_18254,8.829255
VID_11155,-1.3994764
VID_12257,3.4899073
VID_4207,5.227385
VID_23276,-3.1191049
VID_18261,13.242304
VID_11536,-0.761673
VID_6429,62.53077
VID_9277,-3.9720793
VID_517,-1.9313571
VID_11291,0.8726906
VID_11265,22.024603
VID_632,-0.5604143
VID_13587,-1.2875034
VID_16439,-0.72354054
VID_14888,18.881615
VID_3207,71.60141
VID_9352,10.656449
VID_3286,37.00628
VID_19592,86.76805
VID_15582,18.819584
VID_15269,30.480438
VID_5703,21.987976
VID_22315,15.061557
VID_14939,1.895056
VID_18277,8.979572
VID_1684,0.8402302
VID_14842,1.9340359
VID_635,2.045188
VID_19621,3.1441076
VID_2006,3.8794253
VID_2427,-6.849642
VID_3232,6.0371165
VID_17944,-2.2187622
VID_19507,-2.7528121
VID_6745,3.115527
VID_8446,5.199203
VID_17593,2.5495656
VID_21611,5.362987
VID_16242,-0.865201
VID_23409,5.854616
VID_22950,21.986443
VID_15401,-1.3963555
VID_7634,11.895857
VID_4283,-2.491962
VID_20020,1.5826443
VID_13334,9.228615
VID_17504,6.566649
VID_22854,20.035326
VID_4396,17.707205
VID_7426,-1.3719133
VID_1941,11.690386
VID_22447,4.32934
VID_13156,2.7691877
VID_6361,7.4878483
VID_1601,23.868341
VID_5787,10.360881
VID_15044,12.777662
VID_18511,25.116768
VID_17965,21.50358
VID_20023,1.7485384
VID_20294,15.493209
VID_4284,-0.22574067
VID_6333,21.711306
VID_4459,14.543201
VID_7896,25.00015
VID_14003,153.86455
VID_22518,202.27843
VID_12272,4.5699506
VID_1002,2.3964639
VID_2801,1.3770523
VID_85,101.816345
VID_17535,6.145112
VID_16710,30.282518
VID_7899,54.237988
VID_3336,8.600599
VID_966,18.956757
VID_15920,108.828514
VID_9048,9.699021
VID_10819,23.15713
VID_9004,1.2180439
VID_8038,4.934803
VID_22273,21.347527
VID_9597,6.7694163
VID_405,5.9895344
VID_6857,8.332922
VID_745,15.484547
VID_22181,20.776894
VID_2452,4.214459
VID_16534,37.975063
VID_8504,3.8449779
VID_6211,11.407097
VID_7421,1.1826206
VID_19004,7.483499
VID_21560,228.67725
VID_6904,-1.5108619
VID_10068,44.589146
VID_3831,57.429466
VID_523,3.0289342
VID_21181,10.759743
VID_9556,17.881376
VID_1140,11.0508375
VID_18078,23.14666
VID_13326,-4.0871673
VID_21883,28.015562
VID_18044,-0.42728537
VID_11715,4.999212
VID_7741,2.4353313
VID_23167,1.987441
VID_4147,4.857843
VID_12377,7.573507
VID_16014,4.5630975
VID_21928,6.2070365
VID_22002,3.3406267
VID_19194,10.15046
VID_17892,17.460173
VID_19234,5.769656
VID_1790,5.4204993
VID_7878,0.93168104
VID_6945,-8.825213
VID_17600,33.89571
VID_7502,4.317493
VID_11761,6.5541043
VID_578,6.9038677
VID_2068,4.2316422
VID_10591,-3.0343795
VID_1300,74.57774
VID_2950,20.026724
VID_12930,86.564
VID_22247,93.60317
VID_4330,2.6046033
VID_14398,31.186544
VID_8506,19.539846
VID_12462,-1.8270423
VID_21697,457.58438
VID_14574,13.46244
VID_14171,12.763244
VID_22620,81.43465
VID_5642,9.7358055
VID_12689,10.758823
VID_3676,1.834718
VID_23515,-3.7928915
VID_11336,23.946945
VID_8360,26.429115
VID_14293,-2.6841316
VID_7088,22.83927
